cohort_label,month_index,retention_pct,cohort_customers,active_customers
2017-07,3,0.24,3822,9
2017-07,4,0.29,3822,11
2017-07,5,0.21,3822,8
2017-07,6,0.31,3822,12
2017-07,7,0.1,3822,4
2017-07,8,0.18,3822,7
2017-07,9,0.26,3822,10
2017-07,10,0.21,3822,8
2017-07,11,0.29,3822,11
2017-08,0,100.0,4130,4130
2017-08,1,0.68,4130,28
2017-08,2,0.34,4130,14
2017-08,3,0.27,4130,11
2017-08,4,0.36,4130,15
2017-08,5,0.53,4130,22
2017-08,6,0.29,4130,12
2017-08,7,0.27,4130,11
2017-08,8,0.15,4130,6
2017-08,9,0.15,4130,6
2017-08,10,0.24,4130,10
2017-08,11,0.19,4130,8
2017-09,0,100.0,4075,4075
2017-09,1,0.69,4075,28
2017-09,2,0.54,4075,22
2017-09,3,0.29,4075,12
2017-09,4,0.44,4075,18
2017-09,5,0.22,4075,9
2017-09,6,0.22,4075,9
2017-09,7,0.25,4075,10
2017-09,8,0.29,4075,12
2017-09,9,0.17,4075,7
2017-09,10,0.27,4075,11
2017-09,11,0.07,4075,3
2017-10,0,100.0,4392,4392
2017-10,1,0.71,4392,31
2017-10,2,0.25,4392,11
2017-10,3,0.09,4392,4
2017-10,4,0.23,4392,10
2017-10,5,0.2,4392,9
2017-10,6,0.2,4392,9
2017-10,7,0.36,4392,16
2017-10,8,0.27,4392,12
2017-10,9,0.2,4392,9
2017-10,10,0.2,4392,9
2017-11,0,100.0,7188,7188
2017-11,1,0.56,7188,40
2017-11,2,0.39,7188,28
2017-11,3,0.17,7188,12
2017-11,4,0.19,7188,14
2017-11,5,0.18,7188,13
2017-11,6,0.11,7188,8
2017-11,7,0.19,7188,14
2017-11,8,0.13,7188,9
2017-11,9,0.06,7188,4
2017-12,0,100.0,5437,5437
2017-12,1,0.22,5437,12
2017-12,2,0.28,5437,15
2017-12,3,0.35,5437,19
2017-12,4,0.26,5437,14
2017-12,5,0.2,5437,11
2017-12,6,0.17,5437,9
2017-12,7,0.02,5437,1
2017-12,8,0.22,5437,12
2018-01,0,100.0,6951,6951
2018-01,1,0.33,6951,23
2018-01,2,0.36,6951,25
2018-01,3,0.29,6951,20
2018-01,4,0.29,6951,20
2018-01,5,0.16,6951,11
2018-01,6,0.17,6951,12
2018-01,7,0.23,6951,16
2018-02,0,100.0,6356,6356
2018-02,1,0.36,6356,23
2018-02,2,0.39,6356,25
2018-02,3,0.3,6356,19
2018-02,4,0.27,6356,17
2018-02,5,0.22,6356,14
2018-02,6,0.2,6356,13
2018-03,0,100.0,6931,6931
2018-03,1,0.4,6931,28
2018-03,2,0.3,6931,21
2018-03,3,0.29,6931,20
2018-03,4,0.13,6931,9
2018-03,5,0.12,6931,8
2018-04,0,100.0,6698,6698
2018-04,1,0.58,6698,39
2018-04,2,0.31,6698,21
2018-04,3,0.24,6698,16
2018-04,4,0.13,6698,9
2018-05,0,100.0,6586,6586
2018-05,1,0.52,6586,34
2018-05,2,0.26,6586,17
2018-05,3,0.2,6586,13
2018-06,0,100.0,5920,5920
2018-06,1,0.42,5920,25
2018-06,2,0.27,5920,16
2018-07,0,100.0,6017,6017
2018-07,1,0.52,6017,31
2018-08,0,100.0,6209,6209
2018-08,1,0.02,6209,1
