month_start_date,year_month,region,delivery_speed_bucket,bucket_order,orders,revenue,avg_review_score,detractor_orders,promoter_orders,detractor_rate_pct,avg_days_to_deliver,avg_days_vs_estimate,late_delivery_rate_pct
2017-02-01,2017-02,Central-West,4-7 days,2,8,1134.22,4.63,0,8,0.0,6.38,-31.63,0.0
2017-02-01,2017-02,Central-West,8-14 days,3,22,10147.05,4.5,2,20,9.09,10.45,-26.14,0.0
2017-02-01,2017-02,Central-West,15-30 days,4,41,13314.82,4.17,6,32,14.63,20.17,-15.76,0.0
2017-02-01,2017-02,Central-West,30+ days,5,2,120.35,3.0,1,1,50.0,106.0,76.0,50.0
2017-02-01,2017-02,Central-West,not delivered,99,6,645.99,1.0,6,0,100.0,,,
2017-02-01,2017-02,North,4-7 days,2,3,4139.86,4.33,0,2,0.0,6.0,-43.67,0.0
2017-02-01,2017-02,North,8-14 days,3,16,2283.3,4.5,0,13,0.0,11.88,-29.94,0.0
2017-02-01,2017-02,North,15-30 days,4,33,8145.06,4.52,2,30,6.06,20.88,-19.97,0.0
2017-02-01,2017-02,North,30+ days,5,3,1349.78,4.33,0,2,0.0,36.33,-7.0,0.0
2017-02-01,2017-02,North,not delivered,99,3,567.6,1.0,3,0,100.0,,,
2017-02-01,2017-02,Northeast,4-7 days,2,4,319.33,5.0,0,4,0.0,6.5,-59.5,0.0
2017-02-01,2017-02,Northeast,8-14 days,3,41,6153.19,4.51,2,37,4.88,11.78,-28.71,0.0
2017-02-01,2017-02,Northeast,15-30 days,4,91,16834.12,4.14,10,68,10.99,20.05,-21.25,0.0
2017-02-01,2017-02,Northeast,30+ days,5,18,3945.77,3.06,8,9,44.44,47.89,7.61,50.0
2017-02-01,2017-02,Northeast,not delivered,99,5,630.8,1.4,4,0,80.0,,,
2017-02-01,2017-02,South,0-3 days,1,3,385.95,5.0,0,3,0.0,3.0,-24.33,0.0
2017-02-01,2017-02,South,4-7 days,2,29,6476.45,4.17,4,23,13.79,6.0,-28.14,0.0
2017-02-01,2017-02,South,8-14 days,3,127,22274.55,4.43,7,112,5.51,10.95,-20.64,0.0
2017-02-01,2017-02,South,15-30 days,4,97,14236.88,3.92,13,70,13.4,20.07,-13.66,0.0
2017-02-01,2017-02,South,30+ days,5,11,1736.0,2.0,8,2,72.73,37.91,9.18,81.82
2017-02-01,2017-02,South,not delivered,99,15,2694.96,1.27,14,0,93.33,,,
2017-02-01,2017-02,Southeast,0-3 days,1,35,4153.38,4.43,2,30,5.71,2.77,-23.66,0.0
2017-02-01,2017-02,Southeast,4-7 days,2,305,40055.43,4.3,24,248,7.87,5.81,-23.5,0.0
2017-02-01,2017-02,Southeast,8-14 days,3,546,81866.7,4.3,51,449,9.34,10.55,-20.15,0.0
2017-02-01,2017-02,Southeast,15-30 days,4,191,27788.02,3.92,32,133,16.75,18.45,-13.77,4.71
2017-02-01,2017-02,Southeast,30+ days,5,27,4379.11,2.48,16,9,59.26,50.78,16.81,77.78
2017-02-01,2017-02,Southeast,not delivered,99,98,10501.95,1.68,78,13,79.59,,,
2017-03-01,2017-03,Central-West,4-7 days,2,15,3617.35,4.53,1,14,6.67,5.8,-23.07,0.0
2017-03-01,2017-03,Central-West,8-14 days,3,71,10826.98,4.21,8,55,11.27,11.51,-16.93,0.0
2017-03-01,2017-03,Central-West,15-30 days,4,45,10819.87,3.96,7,33,15.56,19.96,-9.29,0.0
2017-03-01,2017-03,Central-West,30+ days,5,5,2087.57,2.4,3,1,60.0,45.8,7.2,80.0
2017-03-01,2017-03,Central-West,not delivered,99,10,470.07,2.7,5,4,50.0,,,
2017-03-01,2017-03,North,4-7 days,2,2,141.73,4.5,0,2,0.0,5.0,-32.0,0.0
2017-03-01,2017-03,North,8-14 days,3,16,2840.2,3.81,3,11,18.75,11.81,-23.44,0.0
2017-03-01,2017-03,North,15-30 days,4,33,6872.66,4.0,3,23,9.09,19.58,-16.45,0.0
2017-03-01,2017-03,North,30+ days,5,19,4611.31,3.63,5,12,26.32,60.32,20.47,42.11
2017-03-01,2017-03,North,not delivered,99,2,96.98,2.0,1,0,50.0,,,
2017-03-01,2017-03,Northeast,4-7 days,2,8,1629.39,4.25,1,7,12.5,6.5,-28.75,0.0
2017-03-01,2017-03,Northeast,8-14 days,3,54,8103.51,4.5,3,48,5.56,11.87,-19.87,0.0
2017-03-01,2017-03,Northeast,15-30 days,4,145,31558.08,3.96,24,104,16.55,20.03,-14.69,0.0
2017-03-01,2017-03,Northeast,30+ days,5,37,7295.31,2.41,21,12,56.76,65.86,31.54,86.49
2017-03-01,2017-03,Northeast,not delivered,99,20,3191.89,2.1,12,4,60.0,,,
2017-03-01,2017-03,South,0-3 days,1,2,466.13,4.5,0,2,0.0,3.0,-15.5,0.0
2017-03-01,2017-03,South,4-7 days,2,62,8533.96,4.52,2,55,3.23,6.16,-17.4,0.0
2017-03-01,2017-03,South,8-14 days,3,159,25550.37,4.3,13,129,8.18,11.06,-14.1,0.0
2017-03-01,2017-03,South,15-30 days,4,136,24705.82,4.02,14,103,10.29,19.49,-7.29,12.5
2017-03-01,2017-03,South,30+ days,5,10,929.64,2.7,5,4,50.0,51.9,25.2,90.0
2017-03-01,2017-03,South,not delivered,99,19,2551.83,1.58,15,3,78.95,,,
2017-03-01,2017-03,Southeast,0-3 days,1,66,13200.9,4.58,4,60,6.06,2.76,-18.2,0.0
2017-03-01,2017-03,Southeast,4-7 days,2,567,76486.81,4.43,36,491,6.35,5.89,-16.11,0.0
2017-03-01,2017-03,Southeast,8-14 days,3,880,133029.14,4.25,83,723,9.43,10.42,-13.25,0.0
2017-03-01,2017-03,Southeast,15-30 days,4,188,37004.03,3.73,39,121,20.74,19.13,-6.74,12.23
2017-03-01,2017-03,Southeast,30+ days,5,26,4020.19,1.85,20,4,76.92,59.54,29.38,88.46
2017-03-01,2017-03,Southeast,not delivered,99,85,11406.87,1.88,62,16,72.94,,,
2017-04-01,2017-04,Central-West,0-3 days,1,1,382.38,1.0,1,0,100.0,3.0,-29.0,0.0
2017-04-01,2017-04,Central-West,4-7 days,2,5,656.11,4.4,0,5,0.0,6.2,-22.2,0.0
2017-04-01,2017-04,Central-West,8-14 days,3,39,5993.42,4.08,5,31,12.82,11.51,-19.9,0.0
2017-04-01,2017-04,Central-West,15-30 days,4,59,12166.04,3.98,9,44,15.25,19.34,-12.66,0.0
2017-04-01,2017-04,Central-West,30+ days,5,8,1899.2,2.88,3,2,37.5,50.75,18.88,75.0
2017-04-01,2017-04,Central-West,not delivered,99,6,808.71,2.17,3,1,50.0,,,
2017-04-01,2017-04,North,8-14 days,3,14,2293.05,4.43,0,12,0.0,11.64,-26.57,0.0
2017-04-01,2017-04,North,15-30 days,4,58,9733.34,4.29,6,47,10.34,20.88,-15.09,1.72
2017-04-01,2017-04,North,30+ days,5,4,1198.8,2.5,2,1,50.0,38.75,-0.25,50.0
2017-04-01,2017-04,North,not delivered,99,3,659.19,1.33,3,0,100.0,,,
2017-04-01,2017-04,Northeast,4-7 days,2,3,432.45,4.67,0,3,0.0,6.0,-29.0,0.0
2017-04-01,2017-04,Northeast,8-14 days,3,34,5822.81,4.38,4,29,11.76,11.5,-24.41,0.0
2017-04-01,2017-04,Northeast,15-30 days,4,166,30834.55,4.12,19,131,11.45,21.31,-15.28,1.2
2017-04-01,2017-04,Northeast,30+ days,5,58,14531.45,3.24,22,32,37.93,50.66,14.48,58.62
2017-04-01,2017-04,Northeast,not delivered,99,20,2744.66,1.9,15,3,75.0,,,
2017-04-01,2017-04,South,0-3 days,1,1,65.67,5.0,0,1,0.0,3.0,-14.0,0.0
2017-04-01,2017-04,South,4-7 days,2,25,3910.72,4.52,2,23,8.0,6.2,-20.2,0.0
2017-04-01,2017-04,South,8-14 days,3,176,24885.71,4.26,17,144,9.66,11.03,-16.99,0.0
2017-04-01,2017-04,South,15-30 days,4,124,19498.56,4.22,12,102,9.68,18.86,-9.71,3.23
2017-04-01,2017-04,South,30+ days,5,18,2413.12,2.5,10,5,55.56,36.83,4.0,61.11
2017-04-01,2017-04,South,not delivered,99,13,3875.07,2.31,9,3,69.23,,,
2017-04-01,2017-04,Southeast,0-3 days,1,37,4571.76,4.49,2,32,5.41,2.81,-19.46,0.0
2017-04-01,2017-04,Southeast,4-7 days,2,322,49799.23,4.41,22,279,6.83,5.9,-18.67,0.0
2017-04-01,2017-04,Southeast,8-14 days,3,702,106441.61,4.33,63,582,8.97,10.77,-14.8,0.0
2017-04-01,2017-04,Southeast,15-30 days,4,405,83702.17,3.82,75,277,18.52,19.37,-7.58,13.33
2017-04-01,2017-04,Southeast,30+ days,5,44,9580.25,2.32,28,14,63.64,37.36,7.66,84.09
2017-04-01,2017-04,Southeast,not delivered,99,59,13522.21,1.76,46,9,77.97,,,
2017-05-01,2017-05,Central-West,0-3 days,1,1,28.01,5.0,0,1,0.0,2.0,-11.0,0.0
2017-05-01,2017-05,Central-West,4-7 days,2,20,3904.63,4.65,0,19,0.0,6.6,-20.0,0.0
2017-05-01,2017-05,Central-West,8-14 days,3,110,19431.49,4.45,5,91,4.55,11.03,-18.34,0.0
2017-05-01,2017-05,Central-West,15-30 days,4,68,11483.88,4.34,6,56,8.82,18.03,-13.51,0.0
2017-05-01,2017-05,Central-West,30+ days,5,7,4087.68,1.86,6,1,85.71,49.86,10.71,57.14
2017-05-01,2017-05,Central-West,not delivered,99,11,981.61,1.36,10,0,90.91,,,
2017-05-01,2017-05,North,8-14 days,3,37,6342.18,4.62,1,33,2.7,11.49,-21.19,0.0
2017-05-01,2017-05,North,15-30 days,4,37,6831.0,4.08,6,29,16.22,21.11,-17.11,0.0
2017-05-01,2017-05,North,30+ days,5,8,2150.35,3.0,3,4,37.5,46.75,10.38,25.0
2017-05-01,2017-05,North,not delivered,99,5,268.14,1.4,5,0,100.0,,,
2017-05-01,2017-05,Northeast,4-7 days,2,14,3084.77,3.79,3,10,21.43,6.14,-28.36,0.0
2017-05-01,2017-05,Northeast,8-14 days,3,134,24703.2,4.47,8,117,5.97,11.48,-22.4,0.0
2017-05-01,2017-05,Northeast,15-30 days,4,209,40013.67,4.11,24,167,11.48,19.6,-14.92,0.96
2017-05-01,2017-05,Northeast,30+ days,5,12,3297.37,2.42,7,4,58.33,40.33,5.25,58.33
2017-05-01,2017-05,Northeast,not delivered,99,19,1984.77,1.68,16,3,84.21,,,
2017-05-01,2017-05,South,0-3 days,1,12,4260.58,4.75,0,11,0.0,2.67,-16.58,0.0
2017-05-01,2017-05,South,4-7 days,2,115,20693.3,4.37,10,98,8.7,6.3,-17.64,0.0
2017-05-01,2017-05,South,8-14 days,3,301,49613.94,4.38,20,254,6.64,10.64,-15.09,0.0
2017-05-01,2017-05,South,15-30 days,4,122,16156.77,3.92,18,89,14.75,18.48,-8.9,3.28
2017-05-01,2017-05,South,30+ days,5,6,1194.11,4.0,1,4,16.67,69.83,43.0,100.0
2017-05-01,2017-05,South,not delivered,99,16,3404.85,2.5,9,6,56.25,,,
2017-05-01,2017-05,Southeast,0-3 days,1,176,22642.53,4.5,7,153,3.98,2.41,-12.97,0.0
2017-05-01,2017-05,Southeast,4-7 days,2,698,101226.38,4.33,64,585,9.17,5.78,-14.71,0.0
2017-05-01,2017-05,Southeast,8-14 days,3,1104,168238.34,4.24,109,892,9.87,10.31,-13.09,1.09
2017-05-01,2017-05,Southeast,15-30 days,4,326,52063.76,3.82,58,225,17.79,18.73,-8.07,13.5
2017-05-01,2017-05,Southeast,30+ days,5,28,5209.46,2.39,16,9,57.14,43.71,16.0,89.29
2017-05-01,2017-05,Southeast,not delivered,99,104,12894.18,1.84,80,18,76.92,,,
2017-06-01,2017-06,Central-West,4-7 days,2,8,757.13,3.63,2,5,25.0,6.25,-20.63,0.0
2017-06-01,2017-06,Central-West,8-14 days,3,102,14646.4,4.18,10,81,9.8,11.65,-17.86,0.0
2017-06-01,2017-06,Central-West,15-30 days,4,77,13114.95,4.03,9,60,11.69,18.69,-11.65,0.0
2017-06-01,2017-06,Central-West,30+ days,5,5,971.13,3.4,2,3,40.0,38.2,9.4,100.0
2017-06-01,2017-06,Central-West,not delivered,99,8,954.8,3.75,1,6,12.5,,,
2017-06-01,2017-06,North,4-7 days,2,3,497.4,3.67,1,2,33.33,6.67,-27.33,0.0
2017-06-01,2017-06,North,8-14 days,3,22,6313.23,4.59,0,21,0.0,11.91,-22.0,0.0
2017-06-01,2017-06,North,15-30 days,4,34,5607.63,4.53,1,31,2.94,21.29,-13.97,0.0
2017-06-01,2017-06,North,30+ days,5,5,2204.3,4.2,1,4,20.0,36.6,2.0,40.0
2017-06-01,2017-06,North,not delivered,99,2,308.24,1.0,2,0,100.0,,,
2017-06-01,2017-06,Northeast,0-3 days,1,1,101.26,5.0,0,1,0.0,3.0,-32.0,0.0
2017-06-01,2017-06,Northeast,4-7 days,2,7,1100.85,4.57,0,6,0.0,6.57,-25.57,0.0
2017-06-01,2017-06,Northeast,8-14 days,3,101,18856.6,4.25,11,83,10.89,12.02,-21.93,0.0
2017-06-01,2017-06,Northeast,15-30 days,4,143,28760.39,3.92,24,103,16.78,20.15,-15.01,1.4
2017-06-01,2017-06,Northeast,30+ days,5,18,8351.72,1.94,13,4,72.22,45.44,10.78,77.78
2017-06-01,2017-06,Northeast,not delivered,99,16,2710.59,2.06,11,4,68.75,,,
2017-06-01,2017-06,South,0-3 days,1,11,1951.75,4.73,0,10,0.0,2.73,-13.45,0.0
2017-06-01,2017-06,South,4-7 days,2,48,6795.99,4.52,3,41,6.25,6.23,-18.02,0.0
2017-06-01,2017-06,South,8-14 days,3,309,43281.97,4.42,17,267,5.5,10.99,-14.91,0.0
2017-06-01,2017-06,South,15-30 days,4,119,16820.46,4.32,10,100,8.4,18.24,-9.26,2.52
2017-06-01,2017-06,South,30+ days,5,5,578.55,2.4,3,2,60.0,50.6,18.0,80.0
2017-06-01,2017-06,South,not delivered,99,16,1602.71,1.44,14,1,87.5,,,
2017-06-01,2017-06,Southeast,0-3 days,1,153,19788.98,4.31,15,123,9.8,2.38,-12.97,0.0
2017-06-01,2017-06,Southeast,4-7 days,2,564,77118.64,4.32,49,467,8.69,5.73,-13.52,0.0
2017-06-01,2017-06,Southeast,8-14 days,3,1019,146026.26,4.28,99,837,9.72,10.56,-13.09,0.0
2017-06-01,2017-06,Southeast,15-30 days,4,354,72554.88,3.85,68,250,19.21,18.89,-7.15,11.86
2017-06-01,2017-06,Southeast,30+ days,5,27,3849.9,2.81,12,11,44.44,53.85,26.63,85.19
2017-06-01,2017-06,Southeast,not delivered,99,68,7336.33,1.82,51,12,75.0,,,
2017-07-01,2017-07,Central-West,0-3 days,1,4,503.75,5.0,0,4,0.0,2.0,-16.5,0.0
2017-07-01,2017-07,Central-West,4-7 days,2,17,3362.36,4.41,2,14,11.76,6.24,-20.88,0.0
2017-07-01,2017-07,Central-West,8-14 days,3,111,21961.26,4.43,7,97,6.31,11.29,-17.16,0.0
2017-07-01,2017-07,Central-West,15-30 days,4,78,12594.23,4.37,5,69,6.41,18.46,-10.88,0.0
2017-07-01,2017-07,Central-West,30+ days,5,3,415.96,3.0,1,1,33.33,49.33,22.67,100.0
2017-07-01,2017-07,Central-West,not delivered,99,4,231.87,1.0,4,0,100.0,,,
2017-07-01,2017-07,North,4-7 days,2,1,44.62,5.0,0,1,0.0,7.0,-27.0,0.0
2017-07-01,2017-07,North,8-14 days,3,13,2260.45,4.31,1,11,7.69,11.38,-23.77,0.0
2017-07-01,2017-07,North,15-30 days,4,43,6970.68,4.07,6,33,13.95,19.42,-16.23,0.0
2017-07-01,2017-07,North,30+ days,5,3,400.93,3.33,1,2,33.33,39.33,4.67,100.0
2017-07-01,2017-07,North,not delivered,99,4,1068.98,2.0,3,1,75.0,,,
2017-07-01,2017-07,Northeast,4-7 days,2,10,1509.48,4.2,1,7,10.0,6.1,-25.4,0.0
2017-07-01,2017-07,Northeast,8-14 days,3,112,18751.01,4.32,11,92,9.82,11.73,-21.14,0.0
2017-07-01,2017-07,Northeast,15-30 days,4,229,36923.32,4.18,19,185,8.3,20.32,-13.43,0.0
2017-07-01,2017-07,Northeast,30+ days,5,53,10992.09,2.49,28,16,52.83,41.28,6.17,67.92
2017-07-01,2017-07,Northeast,not delivered,99,20,2847.38,2.65,11,9,55.0,,,
2017-07-01,2017-07,South,0-3 days,1,8,1318.89,4.88,0,8,0.0,2.75,-13.25,0.0
2017-07-01,2017-07,South,4-7 days,2,87,10961.33,4.59,1,81,1.15,6.01,-17.38,0.0
2017-07-01,2017-07,South,8-14 days,3,339,50054.76,4.41,22,290,6.49,10.85,-14.65,0.0
2017-07-01,2017-07,South,15-30 days,4,149,21992.54,4.21,18,120,12.08,18.72,-7.68,5.37
2017-07-01,2017-07,South,30+ days,5,6,927.58,2.67,2,1,33.33,45.17,17.33,100.0
2017-07-01,2017-07,South,not delivered,99,21,1943.72,2.43,13,8,61.9,,,
2017-07-01,2017-07,Southeast,0-3 days,1,254,31053.4,4.44,19,220,7.48,2.48,-12.69,0.0
2017-07-01,2017-07,Southeast,4-7 days,2,781,104325.31,4.4,52,659,6.66,5.74,-13.79,0.0
2017-07-01,2017-07,Southeast,8-14 days,3,1204,163469.74,4.26,120,978,9.97,10.42,-12.62,0.33
2017-07-01,2017-07,Southeast,15-30 days,4,342,58744.9,3.86,63,241,18.42,17.98,-7.06,7.6
2017-07-01,2017-07,Southeast,30+ days,5,25,6760.49,1.92,18,5,72.0,44.68,17.52,88.0
2017-07-01,2017-07,Southeast,not delivered,99,105,12580.59,1.82,79,14,75.24,,,
2017-08-01,2017-08,Central-West,0-3 days,1,5,877.54,3.6,2,3,40.0,2.6,-20.6,0.0
2017-08-01,2017-08,Central-West,4-7 days,2,24,4061.2,4.17,2,19,8.33,6.29,-18.08,0.0
2017-08-01,2017-08,Central-West,8-14 days,3,128,19440.34,4.3,12,109,9.38,11.15,-17.13,0.0
2017-08-01,2017-08,Central-West,15-30 days,4,75,13932.07,3.88,16,52,21.33,18.21,-12.29,1.33
2017-08-01,2017-08,Central-West,30+ days,5,3,1108.89,4.0,0,2,0.0,38.33,7.0,66.67
2017-08-01,2017-08,Central-West,not delivered,99,8,2013.69,2.38,5,3,62.5,,,
2017-08-01,2017-08,North,4-7 days,2,4,996.41,4.75,0,4,0.0,6.25,-27.75,0.0
2017-08-01,2017-08,North,8-14 days,3,35,7619.0,4.31,3,29,8.57,11.91,-23.43,0.0
2017-08-01,2017-08,North,15-30 days,4,56,15613.16,4.16,8,47,14.29,20.48,-15.86,0.0
2017-08-01,2017-08,North,30+ days,5,3,859.04,4.67,0,3,0.0,34.33,-2.33,0.0
2017-08-01,2017-08,North,not delivered,99,3,36.43,3.33,1,2,33.33,,,
2017-08-01,2017-08,Northeast,0-3 days,1,2,1363.8,5.0,0,2,0.0,2.5,-18.0,0.0
2017-08-01,2017-08,Northeast,4-7 days,2,27,7213.27,4.15,3,22,11.11,6.07,-23.81,0.0
2017-08-01,2017-08,Northeast,8-14 days,3,140,23683.64,4.4,10,119,7.14,11.74,-20.57,0.0
2017-08-01,2017-08,Northeast,15-30 days,4,236,49426.16,4.26,21,194,8.9,19.8,-14.06,1.27
2017-08-01,2017-08,Northeast,30+ days,5,33,9209.58,2.45,20,11,60.61,39.36,6.0,75.76
2017-08-01,2017-08,Northeast,not delivered,99,14,6315.83,1.64,11,2,78.57,,,
2017-08-01,2017-08,South,0-3 days,1,17,3110.64,4.59,1,15,5.88,2.76,-17.35,0.0
2017-08-01,2017-08,South,4-7 days,2,118,16036.02,4.5,10,105,8.47,6.08,-17.21,0.0
2017-08-01,2017-08,South,8-14 days,3,323,48215.08,4.36,26,274,8.05,10.91,-14.31,0.0
2017-08-01,2017-08,South,15-30 days,4,188,28539.76,4.23,19,156,10.11,18.91,-8.45,3.19
2017-08-01,2017-08,South,30+ days,5,21,2308.5,2.62,11,8,52.38,35.52,7.62,95.24
2017-08-01,2017-08,South,not delivered,99,13,1726.8,1.15,12,0,92.31,,,
2017-08-01,2017-08,Southeast,0-3 days,1,324,36477.06,4.49,20,287,6.17,2.33,-13.09,0.0
2017-08-01,2017-08,Southeast,4-7 days,2,938,127366.76,4.46,63,825,6.72,5.68,-14.21,0.0
2017-08-01,2017-08,Southeast,8-14 days,3,1147,173250.52,4.33,99,967,8.63,10.43,-13.05,0.7
2017-08-01,2017-08,Southeast,15-30 days,4,328,51879.82,3.95,51,235,15.55,18.71,-7.02,12.2
2017-08-01,2017-08,Southeast,30+ days,5,18,3244.1,2.56,9,6,50.0,48.22,24.22,94.44
2017-08-01,2017-08,Southeast,not delivered,99,100,12279.49,2.02,70,20,70.0,,,
2017-09-01,2017-09,Central-West,0-3 days,1,2,362.6,4.5,0,2,0.0,2.5,-15.0,0.0
2017-09-01,2017-09,Central-West,4-7 days,2,26,2945.78,4.35,4,22,15.38,5.85,-17.96,0.0
2017-09-01,2017-09,Central-West,8-14 days,3,135,25514.57,4.24,15,109,11.11,11.1,-13.09,0.0
2017-09-01,2017-09,Central-West,15-30 days,4,79,15580.14,3.89,14,55,17.72,19.39,-6.54,11.39
2017-09-01,2017-09,Central-West,30+ days,5,1,99.7,1.0,1,0,100.0,49.0,16.0,100.0
2017-09-01,2017-09,Central-West,not delivered,99,9,1219.8,2.0,6,2,66.67,,,
2017-09-01,2017-09,North,4-7 days,2,1,234.89,5.0,0,1,0.0,7.0,-23.0,0.0
2017-09-01,2017-09,North,8-14 days,3,17,4688.57,4.24,2,13,11.76,12.29,-25.88,0.0
2017-09-01,2017-09,North,15-30 days,4,62,12556.31,4.48,4,56,6.45,21.06,-16.66,0.0
2017-09-01,2017-09,North,30+ days,5,10,3702.23,2.2,6,2,60.0,45.5,5.0,60.0
2017-09-01,2017-09,North,not delivered,99,1,0.0,3.0,0,0,0.0,,,
2017-09-01,2017-09,Northeast,4-7 days,2,14,2738.91,4.36,2,12,14.29,6.21,-18.86,0.0
