cohort_month,cohort_label,months_since_first_order,cohort_customers,active_customers,orders,revenue,retention_pct,revenue_per_cohort_customer,revenue_per_active_customer
2017-04-01,2017-04,15,2325,2,2,272.63,0.09,0.12,136.32
2017-04-01,2017-04,16,2325,3,4,962.61,0.13,0.41,320.87
2017-05-01,2017-05,0,3541,3541,3611,577671.73,100.0,163.14,163.14
2017-05-01,2017-05,1,3541,17,18,1981.77,0.48,0.56,116.57
2017-05-01,2017-05,2,3541,17,18,3046.03,0.48,0.86,179.18
2017-05-01,2017-05,3,3541,14,14,2039.15,0.4,0.58,145.65
2017-05-01,2017-05,4,3541,11,11,1270.79,0.31,0.36,115.53
2017-05-01,2017-05,5,3541,12,14,1698.01,0.34,0.48,141.5
2017-05-01,2017-05,6,3541,15,17,3024.03,0.42,0.85,201.6
2017-05-01,2017-05,7,3541,5,5,608.02,0.14,0.17,121.6
2017-05-01,2017-05,8,3541,9,9,1623.52,0.25,0.46,180.39
2017-05-01,2017-05,9,3541,9,11,1353.84,0.25,0.38,150.43
2017-05-01,2017-05,10,3541,9,9,1459.06,0.25,0.41,162.12
2017-05-01,2017-05,11,3541,12,12,1438.36,0.34,0.41,119.86
2017-05-01,2017-05,12,3541,9,10,1173.14,0.25,0.33,130.35
2017-05-01,2017-05,13,3541,1,1,62.33,0.03,0.02,62.33
2017-05-01,2017-05,14,3541,7,8,803.36,0.2,0.23,114.77
2017-05-01,2017-05,15,3541,8,10,915.92,0.23,0.26,114.49
2017-06-01,2017-06,0,3102,3102,3161,493672.68,100.0,159.15,159.15
2017-06-01,2017-06,1,3102,14,14,1973.51,0.45,0.64,140.97
2017-06-01,2017-06,2,3102,11,12,2060.14,0.35,0.66,187.29
2017-06-01,2017-06,3,3102,12,12,1433.12,0.39,0.46,119.43
2017-06-01,2017-06,4,3102,8,8,1374.89,0.26,0.44,171.86
2017-06-01,2017-06,5,3102,12,12,1627.85,0.39,0.52,135.65
2017-06-01,2017-06,6,3102,11,11,1601.41,0.35,0.52,145.58
2017-06-01,2017-06,7,3102,7,7,822.86,0.23,0.27,117.55
2017-06-01,2017-06,8,3102,4,4,346.26,0.13,0.11,86.57
2017-06-01,2017-06,9,3102,7,7,570.5,0.23,0.18,81.5
2017-06-01,2017-06,10,3102,10,10,2348.45,0.32,0.76,234.85
2017-06-01,2017-06,11,3102,10,10,1946.68,0.32,0.63,194.67
2017-06-01,2017-06,12,3102,5,5,513.44,0.16,0.17,102.69
2017-06-01,2017-06,13,3102,4,4,909.63,0.13,0.29,227.41
2017-06-01,2017-06,14,3102,6,7,2284.89,0.19,0.74,380.82
2017-07-01,2017-07,0,3822,3822,3894,570883.24,100.0,149.37,149.37
2017-07-01,2017-07,1,3822,20,22,3070.5,0.52,0.8,153.53
2017-07-01,2017-07,2,3822,13,13,1307.59,0.34,0.34,100.58
2017-07-01,2017-07,3,3822,9,9,1156.32,0.24,0.3,128.48
2017-07-01,2017-07,4,3822,11,13,1220.36,0.29,0.32,110.94
2017-07-01,2017-07,5,3822,8,8,1865.65,0.21,0.49,233.21
2017-07-01,2017-07,6,3822,12,12,2553.19,0.31,0.67,212.77
2017-07-01,2017-07,7,3822,4,4,250.36,0.1,0.07,62.59
2017-07-01,2017-07,8,3822,7,8,413.96,0.18,0.11,59.14
2017-07-01,2017-07,9,3822,10,11,2071.11,0.26,0.54,207.11
2017-07-01,2017-07,10,3822,8,8,1163.02,0.21,0.3,145.38
2017-07-01,2017-07,11,3822,11,12,1264.85,0.29,0.33,114.99
2017-07-01,2017-07,12,3822,5,5,1409.38,0.13,0.37,281.88
2017-07-01,2017-07,13,3822,10,10,981.78,0.26,0.26,98.18
2017-08-01,2017-08,0,4130,4130,4208,651117.61,100.0,157.66,157.66
2017-08-01,2017-08,1,4130,28,29,5056.77,0.68,1.22,180.6
2017-08-01,2017-08,2,4130,14,16,2229.03,0.34,0.54,159.22
2017-08-01,2017-08,3,4130,11,11,1014.62,0.27,0.25,92.24
2017-08-01,2017-08,4,4130,15,15,1858.42,0.36,0.45,123.89
2017-08-01,2017-08,5,4130,22,24,2911.98,0.53,0.71,132.36
2017-08-01,2017-08,6,4130,12,12,1864.71,0.29,0.45,155.39
2017-08-01,2017-08,7,4130,11,11,1949.83,0.27,0.47,177.26
2017-08-01,2017-08,8,4130,6,6,1800.03,0.15,0.44,300.01
2017-08-01,2017-08,9,4130,6,6,1204.91,0.15,0.29,200.82
2017-08-01,2017-08,10,4130,10,10,1460.16,0.24,0.35,146.02
2017-08-01,2017-08,11,4130,8,8,1825.6,0.19,0.44,228.2
2017-08-01,2017-08,12,4130,5,5,595.78,0.12,0.14,119.16
2017-09-01,2017-09,0,4075,4075,4147,705758.8,100.0,173.19,173.19
2017-09-01,2017-09,1,4075,28,28,3659.33,0.69,0.9,130.69
2017-09-01,2017-09,2,4075,22,22,3182.57,0.54,0.78,144.66
2017-09-01,2017-09,3,4075,12,16,1793.32,0.29,0.44,149.44
2017-09-01,2017-09,4,4075,18,18,3226.19,0.44,0.79,179.23
2017-09-01,2017-09,5,4075,9,13,2055.93,0.22,0.5,228.44
2017-09-01,2017-09,6,4075,9,9,1067.34,0.22,0.26,118.59
2017-09-01,2017-09,7,4075,10,10,965.33,0.25,0.24,96.53
2017-09-01,2017-09,8,4075,12,12,1218.0,0.29,0.3,101.5
2017-09-01,2017-09,9,4075,7,7,695.8,0.17,0.17,99.4
2017-09-01,2017-09,10,4075,11,11,1336.99,0.27,0.33,121.54
2017-09-01,2017-09,11,4075,3,3,326.3,0.07,0.08,108.77
2017-10-01,2017-10,0,4392,4392,4453,751202.62,100.0,171.04,171.04
2017-10-01,2017-10,1,4392,31,33,4443.59,0.71,1.01,143.34
2017-10-01,2017-10,2,4392,11,11,1643.41,0.25,0.37,149.4
2017-10-01,2017-10,3,4392,4,4,578.42,0.09,0.13,144.61
2017-10-01,2017-10,4,4392,10,11,1486.94,0.23,0.34,148.69
2017-10-01,2017-10,5,4392,9,9,1408.03,0.2,0.32,156.45
2017-10-01,2017-10,6,4392,9,9,1102.84,0.2,0.25,122.54
2017-10-01,2017-10,7,4392,16,17,2448.18,0.36,0.56,153.01
2017-10-01,2017-10,8,4392,12,13,2349.37,0.27,0.53,195.78
2017-10-01,2017-10,9,4392,9,9,2024.65,0.2,0.46,224.96
2017-10-01,2017-10,10,4392,9,9,960.39,0.2,0.22,106.71
2017-11-01,2017-11,0,7188,7188,7290,1154158.69,100.0,160.57,160.57
2017-11-01,2017-11,1,7188,40,42,8078.27,0.56,1.12,201.96
2017-11-01,2017-11,2,7188,28,29,4119.57,0.39,0.57,147.13
2017-11-01,2017-11,3,7188,12,12,1588.94,0.17,0.22,132.41
2017-11-01,2017-11,4,7188,14,14,2398.32,0.19,0.33,171.31
2017-11-01,2017-11,5,7188,13,14,1895.06,0.18,0.26,145.77
2017-11-01,2017-11,6,7188,8,9,1133.36,0.11,0.16,141.67
2017-11-01,2017-11,7,7188,14,14,1956.68,0.19,0.27,139.76
2017-11-01,2017-11,8,7188,9,9,1323.64,0.13,0.18,147.07
2017-11-01,2017-11,9,7188,4,4,678.31,0.06,0.09,169.58
2017-12-01,2017-12,0,5437,5437,5498,842466.5,100.0,154.95,154.95
2017-12-01,2017-12,1,5437,12,12,2397.92,0.22,0.44,199.83
2017-12-01,2017-12,2,5437,15,16,1922.78,0.28,0.35,128.19
2017-12-01,2017-12,3,5437,19,22,2401.5,0.35,0.44,126.39
2017-12-01,2017-12,4,5437,14,14,1959.48,0.26,0.36,139.96
2017-12-01,2017-12,5,5437,11,11,2055.2,0.2,0.38,186.84
2017-12-01,2017-12,6,5437,9,9,1258.7,0.17,0.23,139.86
2017-12-01,2017-12,7,5437,1,1,284.96,0.02,0.05,284.96
2017-12-01,2017-12,8,5437,12,12,1828.75,0.22,0.34,152.4
2018-01-01,2018-01,0,6951,6951,7047,1080695.6,100.0,155.47,155.47
2018-01-01,2018-01,1,6951,23,23,3650.85,0.33,0.53,158.73
2018-01-01,2018-01,2,6951,25,25,3685.98,0.36,0.53,147.44
2018-01-01,2018-01,3,6951,20,20,3418.22,0.29,0.49,170.91
2018-01-01,2018-01,4,6951,20,20,2663.14,0.29,0.38,133.16
2018-01-01,2018-01,5,6951,11,12,1586.64,0.16,0.23,144.24
2018-01-01,2018-01,6,6951,12,12,1393.54,0.17,0.2,116.13
2018-01-01,2018-01,7,6951,16,16,1643.58,0.23,0.24,102.72
2018-02-01,2018-02,0,6356,6356,6504,963261.8,100.0,151.55,151.55
2018-02-01,2018-02,1,6356,23,23,3254.44,0.36,0.51,141.5
2018-02-01,2018-02,2,6356,25,26,4230.12,0.39,0.67,169.2
2018-02-01,2018-02,3,6356,19,19,3518.6,0.3,0.55,185.19
2018-02-01,2018-02,4,6356,17,17,2246.8,0.27,0.35,132.16
2018-02-01,2018-02,5,6356,14,14,3050.56,0.22,0.48,217.9
2018-02-01,2018-02,6,6356,13,13,1730.85,0.2,0.27,133.14
2018-03-01,2018-03,0,6931,6931,7018,1132149.77,100.0,163.35,163.35
2018-03-01,2018-03,1,6931,28,28,3315.73,0.4,0.48,118.42
2018-03-01,2018-03,2,6931,21,24,3570.99,0.3,0.52,170.05
2018-03-01,2018-03,3,6931,20,21,3264.78,0.29,0.47,163.24
2018-03-01,2018-03,4,6931,9,9,1561.1,0.13,0.23,173.46
2018-03-01,2018-03,5,6931,8,8,519.71,0.12,0.07,64.96
2018-04-01,2018-04,0,6698,6698,6751,1130690.65,100.0,168.81,168.81
2018-04-01,2018-04,1,6698,39,39,5090.03,0.58,0.76,130.51
2018-04-01,2018-04,2,6698,21,21,3693.24,0.31,0.55,175.87
2018-04-01,2018-04,3,6698,16,16,1886.83,0.24,0.28,117.93
2018-04-01,2018-04,4,6698,9,10,849.0,0.13,0.13,94.33
2018-05-01,2018-05,0,6586,6586,6638,1116802.01,100.0,169.57,169.57
2018-05-01,2018-05,1,6586,34,35,8277.65,0.52,1.26,243.46
2018-05-01,2018-05,2,6586,17,17,2623.35,0.26,0.4,154.31
2018-05-01,2018-05,3,6586,13,13,1735.68,0.2,0.26,133.51
2018-06-01,2018-06,0,5920,5920,5954,989904.6,100.0,167.21,167.21
2018-06-01,2018-06,1,5920,25,25,3123.97,0.42,0.53,124.96
2018-06-01,2018-06,2,5920,16,16,1993.21,0.27,0.34,124.58
2018-07-01,2018-07,0,6017,6017,6076,1015213.35,100.0,168.72,168.72
2018-07-01,2018-07,1,6017,31,31,4521.74,0.52,0.75,145.86
2018-08-01,2018-08,0,6209,6209,6245,973921.23,100.0,156.86,156.86
2018-08-01,2018-08,1,6209,1,1,166.46,0.02,0.03,166.46
